#VERB   LABEL
anstiften	PERPETRATOR
anstürmen	OTHER
antreffen	OTHER
antrinken	OTHER
antun	OTHER
anturnen	OTHER
anwerben	PERPETRATOR
anwidern	OTHER
anzetteln	PERPETRATOR
anzweifeln	OTHER
anzählen	OTHER
anzünden	PERPETRATOR
anästhesieren	OTHER
anöden	OTHER
argumentieren	OTHER
argwöhnen	OTHER
assoziieren	OTHER
atomisieren	PERPETRATOR
attackieren	OTHER
attrahieren	PERPETRATOR
aufbauschen	OTHER
aufbegehren	OTHER
aufbessern	OTHER
aufblasen	OTHER
aufbleiben	OTHER
aufblähen	OTHER
aufbrechen	OTHER
aufbäumen	OTHER
aufbürden	OTHER
aufdecken	PERPETRATOR
aufdonnern	OTHER
aufdrängen	PERPETRATOR
aufdrücken	PERPETRATOR
aufeinanderprallen	OTHER
aufeinanderstoßen	OTHER
auferlegen	OTHER
auffahren	OTHER
auffallen	OTHER
auffinden	OTHER
aufflackern	OTHER
aufflammen	OTHER
auffliegen	OTHER
auffressen	OTHER
aufgabeln	OTHER
aufgeben	OTHER
aufhaben	OTHER
aufhalsen	OTHER
aufhalten	OTHER
aufhetzen	PERPETRATOR
aufhäufen	OTHER
aufkeimen	OTHER
aufknöpfen	OTHER
aufknüpfen	OTHER
aufkommen	OTHER
aufkündigen	OTHER
auflachen	OTHER
auflassen	OTHER
auflehnen	PERPETRATOR
auflesen	PERPETRATOR
aufmarschieren	OTHER
aufmotzen	OTHER
aufmucken	OTHER
aufnötigen	PERPETRATOR
aufpassen	OTHER
aufpeitschen	OTHER
aufplatzen	OTHER
aufplustern	OTHER
aufputschen	OTHER
aufquellen	OTHER
aufrauchen	PERPETRATOR
aufrechen	PERPETRATOR
aufreden	OTHER
aufregen	OTHER
aufreiben	PERPETRATOR
aufreißen	OTHER
aufrütteln	PERPETRATOR
aufschieben	OTHER
aufschnappen	OTHER
aufschrecken	OTHER
aufschwatzen	PERPETRATOR
aufsitzen	OTHER
aufspüren	PERPETRATOR
aufstacheln	OTHER
aufstauen	OTHER
aufstoßen	PERPETRATOR
aufstöbern	PERPETRATOR
auftischen	OTHER
auftürmen	OTHER
aufweichen	OTHER
aufwerfen	PERPETRATOR
aufwiegeln	PERPETRATOR
aufwirbeln	OTHER
aufwühlen	OTHER
aufzehren	OTHER
aufzwingen	PERPETRATOR
aufzählen	OTHER
ausagieren	OTHER
ausarten	OTHER
ausbaden	OTHER
ausbeuten	PERPETRATOR
ausbleiben	OTHER
ausbleichen	OTHER
ausblenden	OTHER
ausbluten	OTHER
ausbooten	PERPETRATOR
ausborgen	PERPETRATOR
ausbrechen	OTHER
ausbrennen	OTHER
ausbrüten	PERPETRATOR
ausbuchen	OTHER
ausbuhen	PERPETRATOR
ausbügeln	OTHER
ausbürgern	OTHER
ausdünnen	OTHER
auseinanderbrechen	OTHER
auseinanderdriften	OTHER
auseinanderfallen	OTHER
auseinandergehen	OTHER
auseinanderhalten	OTHER
auseinanderjagen	PERPETRATOR
auseinanderklaffen	OTHER
auseinanderlaufen	OTHER
auseinanderleben	OTHER
auseinandernehmen	OTHER
auseinanderreißen	OTHER
auseinandersprengen	OTHER
auseinanderstieben	OTHER
auseinandertreiben	PERPETRATOR
ausfallen	OTHER
ausfechten	PERPETRATOR
ausflippen	OTHER
ausforschen	OTHER
ausfragen	OTHER
ausfransen	OTHER
ausfressen	OTHER
ausgehen	OTHER
ausgleiten	OTHER
ausgrenzen	PERPETRATOR
aushalten	OTHER
ausharren	OTHER
aushecken	PERPETRATOR
ausheulen	OTHER
aushorchen	PERPETRATOR
aushängen	OTHER
aushöhlen	PERPETRATOR
ausklammern	PERPETRATOR
ausknipsen	OTHER
auskotzen	OTHER
auskramen	PERPETRATOR
auskugeln	OTHER
auskundschaften	OTHER
auskämpfen	PERPETRATOR
auslachen	OTHER
auslassen	OTHER
auslatschen	OTHER
auslaugen	OTHER
ausleiern	OTHER
ausliefern	PERPETRATOR
auslöffeln	OTHER
auslöschen	PERPETRATOR
auslösen	PERPETRATOR
ausmachen	OTHER
ausmalen	OTHER
ausmerzen	PERPETRATOR
ausnehmen	OTHER
ausnutzen	PERPETRATOR
ausnützen	PERPETRATOR
auspeitschen	PERPETRATOR
auspfeifen	OTHER
ausplaudern	PERPETRATOR
ausplündern	PERPETRATOR
ausposaunen	OTHER
auspowern	OTHER
ausprägen	OTHER
auspumpen	OTHER
ausquartieren	PERPETRATOR
ausquetschen	PERPETRATOR
ausradieren	PERPETRATOR
ausrasten	OTHER
ausrauben	PERPETRATOR
ausreden	OTHER
ausreißen	PERPETRATOR
ausrenken	OTHER
ausrotten	PERPETRATOR
ausrutschen	OTHER
ausräumen	PERPETRATOR
aussaugen	PERPETRATOR
ausschelten	OTHER
ausschicken	PERPETRATOR
ausschimpfen	OTHER
ausschlachten	PERPETRATOR
ausschlagen	OTHER
ausschließen	OTHER
ausschweifen	OTHER
ausschweigen	OTHER
ausschwitzen	OTHER
aussetzen	OTHER
aussiedeln	PERPETRATOR
aussitzen	OTHER
aussparen	PERPETRATOR
aussperren	PERPETRATOR
ausspionieren	PERPETRATOR
ausspucken	OTHER
ausspähen	PERPETRATOR
ausstehen	OTHER
ausstoßen	PERPETRATOR
austauschen	PERPETRATOR
austricksen	PERPETRATOR
austrocknen	OTHER
ausufern	OTHER
auswalzen	OTHER
auswechseln	OTHER
ausweiden	OTHER
ausweinen	OTHER
auszehren	OTHER
bagatellisieren	OTHER
banalisieren	OTHER
bangen	OTHER
bannen	OTHER
bauern	PERPETRATOR
beabsichtigen	OTHER
beanstanden	OTHER
beargwöhnen	OTHER
beben	OTHER
bedauern	OTHER
bedenken	OTHER
bedeuten	OTHER
bedingen	OTHER
bedrohen	PERPETRATOR
bedrängen	PERPETRATOR
bedrücken	OTHER
beeinflussen	OTHER
beeinträchtigen	OTHER
beengen	PERPETRATOR
befallen	PERPETRATOR
befehden	OTHER
befehlen	OTHER
beflecken	PERPETRATOR
befrachten	OTHER
befragen	OTHER
befreien	OTHER
befremden	OTHER
befummeln	OTHER
befürchten	OTHER
begaffen	PERPETRATOR
begehen	OTHER
beglotzen	OTHER
begraben	OTHER
begrabschen	PERPETRATOR
begrenzen	OTHER
begünstigen	OTHER
behaften	PERPETRATOR
behandeln	OTHER
beharken	OTHER
beharren	OTHER
behaupten	OTHER
behelfen	PERPETRATOR
behelligen	PERPETRATOR
behexen	PERPETRATOR
behindern	PERPETRATOR
behorchen	OTHER
behämmern	PERPETRATOR
beichten	OTHER
beieinanderliegen	OTHER
beigesellen	OTHER
beikommen	PERPETRATOR
beißen	PERPETRATOR
bejammern	OTHER
bekiffen	OTHER
beklagen	OTHER
beklauen	PERPETRATOR
bekommen	OTHER
bekriegen	PERPETRATOR
bekämpfen	OTHER
bekümmern	OTHER
belabern	OTHER
belachen	OTHER
belagern	PERPETRATOR
belangen	OTHER
belassen	OTHER
belasten	OTHER
belauern	PERPETRATOR
belauschen	PERPETRATOR
belegen	OTHER
beleidigen	PERPETRATOR
belustigen	OTHER
belächeln	OTHER
belästigen	PERPETRATOR
belügen	PERPETRATOR
bemalen	OTHER
bemerken	OTHER
bemitleiden	OTHER
bemuttern	OTHER
bemächtigen	PERPETRATOR
bemäkeln	OTHER
bemängeln	OTHER
bemänteln	OTHER
benachteiligen	OTHER
benagen	PERPETRATOR
benebeln	OTHER
benehmen	OTHER
benutzen	PERPETRATOR
benützen	PERPETRATOR
beobachten	OTHER
beordern	OTHER
bequatschen	OTHER
berauben	PERPETRATOR
berennen	PERPETRATOR
bereuen	OTHER
berichten	OTHER
berlinern	PERPETRATOR
bersten	OTHER
beruhen	PERPETRATOR
berühren	PERPETRATOR
besagen	PERPETRATOR
besaufen	OTHER
beschatten	OTHER
bescheißen	PERPETRATOR
beschimpfen	OTHER
beschlagen	OTHER
beschlagnahmen	PERPETRATOR
beschleichen	OTHER
beschmeißen	PERPETRATOR
beschmieren	PERPETRATOR
beschmutzen	PERPETRATOR
beschneiden	OTHER
beschreiben	OTHER
beschreien	OTHER
beschränken	OTHER
beschuldigen	OTHER
beschummeln	PERPETRATOR
beschwatzen	OTHER
beschweigen	PERPETRATOR
beschweren	OTHER
beschwichtigen	OTHER
beschwindeln	PERPETRATOR
beschwören	OTHER
beschädigen	PERPETRATOR
beschämen	PERPETRATOR
beschönigen	OTHER
beseitigen	PERPETRATOR
beseufzen	OTHER
besiegen	PERPETRATOR
bespitzeln	PERPETRATOR
bespringen	PERPETRATOR
bespritzen	PERPETRATOR
bespucken	PERPETRATOR
bespötteln	OTHER
bestehlen	PERPETRATOR
bestrafen	OTHER
bestreiken	PERPETRATOR
bestreiten	OTHER
bestürmen	PERPETRATOR
bestürzen	OTHER
besudeln	PERPETRATOR
betatschen	OTHER
betiteln	OTHER
betragen	OTHER
betrauern	OTHER
betreffen	OTHER
betreiben	PERPETRATOR
betreten	OTHER
betrinken	OTHER
betrüben	OTHER
betrügen	PERPETRATOR
betteln	PERPETRATOR
bettnässen	OTHER
betäuben	PERPETRATOR
beugen	OTHER
beunruhigen	OTHER
beurlauben	OTHER
beuteln	OTHER
bevormunden	PERPETRATOR
bevorstehen	OTHER
bevorteilen	OTHER
bewachen	OTHER
bewaffnen	PERPETRATOR
beweinen	OTHER
bewerfen	PERPETRATOR
bewölken	OTHER
bezahlen	OTHER
bezeichnen	OTHER
bezichtigen	OTHER
bezweifeln	OTHER
beängstigen	OTHER
beäugen	OTHER
bibbern	OTHER
billigen	OTHER
bimsen	OTHER
blamieren	PERPETRATOR
blasen	OTHER
blaumachen	OTHER
blecken	PERPETRATOR
bleiben	OTHER
bleichen	OTHER
blenden	PERPETRATOR
blockieren	PERPETRATOR
bloßlegen	PERPETRATOR
bloßstellen	PERPETRATOR
bluten	OTHER
blähen	OTHER
blödeln	OTHER
blöken	OTHER
bombardieren	PERPETRATOR
boykottieren	OTHER
brabbeln	OTHER
brachliegen	OTHER
brandmarken	OTHER
brandschatzen	PERPETRATOR
brechen	OTHER
breitmachen	PERPETRATOR
breittreten	PERPETRATOR
bremsen	OTHER
brennen	PERPETRATOR
brodeln	OTHER
brummeln	OTHER
brummen	OTHER
bröckeln	OTHER
bröseln	OTHER
brüllen	OTHER
brüskieren	OTHER
brüsten	OTHER
buckeln	OTHER
buhen	OTHER
buhlen	OTHER
bumsen	OTHER
büffeln	OTHER
bürsten	OTHER
büßen	OTHER
camouflieren	OTHER
canceln	OTHER
changieren	OTHER
computerisieren	OTHER
crossposten	OTHER
dagegensprechen	OTHER
dagegenstellen	OTHER
dahaben	OTHER
daherreden	OTHER
dahinleben	OTHER
dahinraffen	OTHER
dahinsiechen	OTHER
dahinterkommen	OTHER
dahinterstecken	PERPETRATOR
dahinterstehen	PERPETRATOR
danebengehen	OTHER
danebengreifen	OTHER
danebenliegen	OTHER
daniederliegen	OTHER
darben	OTHER
darniederliegen	OTHER
darstellen	OTHER
dasitzen	OTHER
dastehen	OTHER
dauern	OTHER
davongehen	OTHER
davonjagen	OTHER
davonkommen	PERPETRATOR
davonlaufen	OTHER
davonrennen	OTHER
davontragen	OTHER
dazukommen	OTHER
dazustellen	OTHER
dazuzahlen	OTHER
dazwischenfunken	OTHER
dazwischenkommen	OTHER
dazwischenreden	OTHER
dealen	PERPETRATOR
debattieren	OTHER
deckeln	OTHER
deformieren	PERPETRATOR
defäkieren	OTHER
degenerieren	OTHER
degradieren	PERPETRATOR
deichseln	OTHER
deklamieren	OTHER
deklassieren	OTHER
dekuvrieren	OTHER
delirieren	OTHER
demaskieren	PERPETRATOR
dementieren	OTHER
demobilisieren	PERPETRATOR
demolieren	PERPETRATOR
demontieren	OTHER
demoralisieren	PERPETRATOR
demotivieren	PERPETRATOR
demütigen	PERPETRATOR
denken	OTHER
denunzieren	PERPETRATOR
deportieren	OTHER
deprimieren	OTHER
desavouieren	OTHER
desertieren	OTHER
desillusionieren	OTHER
destabilisieren	PERPETRATOR
destruieren	PERPETRATOR
deuten	OTHER
dezentralisieren	OTHER
dezimieren	PERPETRATOR
diagnostizieren	OTHER
dichtmachen	PERPETRATOR
diffamieren	PERPETRATOR
differieren	OTHER
diktieren	PERPETRATOR
diskreditieren	PERPETRATOR
diskriminieren	PERPETRATOR
diskutieren	OTHER
disqualifizieren	OTHER
distanzieren	OTHER
divergieren	OTHER
doktern	OTHER
domestizieren	OTHER
dominieren	OTHER
donnern	OTHER
dopen	OTHER
dozieren	OTHER
dramatisieren	OTHER
drangsalieren	PERPETRATOR
draufgehen	OTHER
draufzahlen	OTHER
drehen	OTHER
driften	OTHER
dringen	OTHER
drohen	OTHER
drosseln	OTHER
drucksen	OTHER
drängeln	OTHER
drängen	OTHER
dräuen	OTHER
dröhnen	OTHER
drücken	OTHER
duellieren	OTHER
dulden	PERPETRATOR
durchbeißen	OTHER
durchbiegen	OTHER
durchblicken	OTHER
durchbohren	PERPETRATOR
durchboxen	PERPETRATOR
durchbrechen	OTHER
durchbrennen	PERPETRATOR
durchdrehen	OTHER
durcheinanderbringen	OTHER
durcheinandergeraten	OTHER
durcheinanderwerfen	OTHER
durchfallen	OTHER
durchfinden	OTHER
durchforsten	OTHER
durchfüttern	OTHER
durchgehen	OTHER
durchgreifen	OTHER
durchhängen	OTHER
durchkauen	OTHER
durchklingen	OTHER
durchkreuzen	OTHER
durchkämmen	PERPETRATOR
durchkämpfen	PERPETRATOR
durchleben	OTHER
durchleiden	OTHER
durchlesen	PERPETRATOR
durchleuchten	OTHER
durchlöchern	PERPETRATOR
durchmachen	OTHER
durchmüssen	OTHER
durchnässen	OTHER
durchprügeln	OTHER
durchrosten	PERPETRATOR
durchrutschen	OTHER
durchschauen	OTHER
durchscheinen	OTHER
durchschlagen	PERPETRATOR
durchschleppen	OTHER
durchschleusen	OTHER
durchstehen	OTHER
durchsuchen	OTHER
durchwachsen	OTHER
durchweichen	OTHER
durchwühlen	PERPETRATOR
durchziehen	OTHER
dursten	OTHER
dämmern	OTHER
dämonisieren	OTHER
dämpfen	OTHER
dümpeln	OTHER
dünken	OTHER
düpieren	PERPETRATOR
dürfen	PERPETRATOR
ebben	OTHER
einbehalten	OTHER
einbestellen	OTHER
einbilden	OTHER
einbläuen	OTHER
einbrechen	PERPETRATOR
einbrennen	OTHER
einbrocken	OTHER
einbüßen	OTHER
eindeutschen	PERPETRATOR
eindringen	PERPETRATOR
eindämmen	OTHER
eindösen	OTHER
einen	OTHER
einengen	OTHER
einfangen	OTHER
einflüstern	PERPETRATOR
einfrieren	OTHER
eingestehen	OTHER
eingreifen	OTHER
einhandeln	OTHER
einhauen	PERPETRATOR
einhergehen	OTHER
einholen	OTHER
einhämmern	OTHER
einigeln	PERPETRATOR
einimpfen	OTHER
einjagen	PERPETRATOR
einkalkulieren	OTHER
einkassieren	OTHER
einkesseln	OTHER
einklagen	OTHER
einklemmen	OTHER
einknicken	OTHER
einliefern	OTHER
einlullen	OTHER
einmischen	PERPETRATOR
einnicken	OTHER
einnisten	PERPETRATOR
einnässen	OTHER
einpennen	OTHER
einquartieren	PERPETRATOR
einreden	OTHER
einreißen	OTHER
einschleichen	PERPETRATOR
einschleimen	OTHER
einschleppen	OTHER
einschleusen	OTHER
einschließen	OTHER
einschläfern	OTHER
einschmuggeln	PERPETRATOR
einschnüren	OTHER
einschreiten	OTHER
einschränken	OTHER
einschüchtern	PERPETRATOR
einsehen	OTHER
einsitzen	OTHER
einspannen	OTHER
einsparen	OTHER
einsperren	PERPETRATOR
einspinnen	OTHER
einstampfen	OTHER
einstauben	OTHER
einstecken	OTHER
einstellen	OTHER
einstürmen	OTHER
einstürzen	OTHER
eintreiben	PERPETRATOR
eintrichtern	OTHER
einweisen	OTHER
einäschern	OTHER
eitern	PERPETRATOR
ekeln	PERPETRATOR
eliminieren	PERPETRATOR
emotionalisieren	OTHER
empfinden	OTHER
empören	OTHER
enden	OTHER
engen	OTHER
entarten	PERPETRATOR
entbehren	OTHER
entblöden	PERPETRATOR
entblößen	OTHER
entbrennen	OTHER
entdramatisieren	OTHER
entdämonisieren	OTHER
entehren	PERPETRATOR
enteignen	PERPETRATOR
enterben	PERPETRATOR
entfahren	OTHER
entfallen	OTHER
entfernen	OTHER
entfesseln	PERPETRATOR
entfleuchen	OTHER
entfliegen	OTHER
entfliehen	OTHER
entfremden	OTHER
entführen	PERPETRATOR
entgegenhalten	OTHER
entgegenschlagen	OTHER
entgegenstehen	OTHER
entgegenstellen	OTHER
entgegentreten	OTHER
entgegenwirken	OTHER
entgegnen	OTHER
entgehen	OTHER
entgelten	OTHER
entgleisen	OTHER
entgleiten	OTHER
enthaupten	PERPETRATOR
entheben	OTHER
entheiligen	OTHER
enthemmen	PERPETRATOR
entkommen	PERPETRATOR
entkräften	OTHER
entkräftigen	OTHER
entlangschleichen	OTHER
entlarven	PERPETRATOR
entlassen	OTHER
entlauben	OTHER
entlaufen	PERPETRATOR
entlausen	OTHER
entledigen	OTHER
entleiben	OTHER
entmachten	OTHER
entmannen	PERPETRATOR
entmenschlichen	PERPETRATOR
entmieten	PERPETRATOR
entmutigen	OTHER
entmündigen	PERPETRATOR
entnazifizieren	PERPETRATOR
entnerven	OTHER
entpersönlichen	PERPETRATOR
entpolitisieren	PERPETRATOR
entpuppen	OTHER
entrechten	PERPETRATOR
entreißen	PERPETRATOR
entringen	PERPETRATOR
entrinnen	OTHER
entrücken	OTHER
entrümpeln	OTHER
entrüsten	OTHER
entsanden	PERPETRATOR
entschlüpfen	OTHER
entschuldigen	OTHER
entschärfen	OTHER
entsetzen	OTHER
entseuchen	PERPETRATOR
entsolidarisieren	PERPETRATOR
entstaatlichen	OTHER
entstehen	OTHER
entstellen	PERPETRATOR
enttabuisieren	OTHER
enttarnen	PERPETRATOR
enttäuschen	PERPETRATOR
entvölkern	PERPETRATOR
entwaffnen	OTHER
entwalden	OTHER
entwarnen	OTHER
entweichen	OTHER
entweihen	PERPETRATOR
entwenden	PERPETRATOR
entwerten	PERPETRATOR
entwidmen	PERPETRATOR
entwinden	PERPETRATOR
entwischen	OTHER
entwurzeln	PERPETRATOR
entwürdigen	PERPETRATOR
entzaubern	OTHER
entziehen	OTHER
entzweien	PERPETRATOR
entzünden	PERPETRATOR
erahnen	OTHER
erbeben	OTHER
erben	OTHER
erbetteln	PERPETRATOR
erbeuten	PERPETRATOR
erbittern	PERPETRATOR
erblassen	OTHER
erbleichen	OTHER
erblicken	OTHER
erblinden	OTHER
erbosen	OTHER
erbrechen	OTHER
erdichten	PERPETRATOR
erdolchen	PERPETRATOR
erdreisten	PERPETRATOR
erdrosseln	PERPETRATOR
erdröhnen	OTHER
erdrücken	OTHER
erdulden	OTHER
ereifern	OTHER
ereignen	OTHER
ereilen	OTHER
erfragen	OTHER
erfrechen	PERPETRATOR
erfrieren	OTHER
ergaunern	PERPETRATOR
ergehen	OTHER
ergoogeln	OTHER
ergrauen	OTHER
ergrimmen	OTHER
erhängen	PERPETRATOR
erhärten	OTHER
erinnern	OTHER
erkaufen	PERPETRATOR
erklagen	PERPETRATOR
